area_type,availability,location,bath,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,6th Block Rajaji Nagar,1,,3200,3,3,190
Super built-up  Area,19-Dec,Sarjapur  Road,2,Daivon ,858,2,1,31.57
Super built-up  Area,21-Mar,Talaghattapura,2,Sodgere,1868,3,1,121
Super built-up  Area,Ready To Move,Uttarahalli,2,Baveles,1689.28,3,2,91.2
Built-up  Area,Ready To Move,Vishwapriya Layout,3,,600,3,2,73
Super built-up  Area,Ready To Move,Banashankari,2,,1425,3,3,49.88
Plot  Area,Ready To Move,Subramanyapura,4,,1200,6,2,170
Plot  Area,Ready To Move,Tindlu,2,,1350,2,1,100
Built-up  Area,Ready To Move,Channasandra,2,,4200,6,0,180
Super built-up  Area,Ready To Move,Uttarahalli,3,Ihnueut,1310,2,1,85
Super built-up  Area,18-Jun,Haralur Road,2,SNnia E,2805 - 3565,,,175
Super built-up  Area,Ready To Move,MLA Layout,2,,970,2,1,40
Super built-up  Area,18-May,Kundalahalli,2,Dieldli,1397,3,3,108
Super built-up  Area,18-Jul,Sarjapur,3,Vehes L,1157,2,1,40
Super built-up  Area,Ready To Move,Kasavanhalli,2,,1125,2,1,61.2
Super built-up  Area,Ready To Move,Sonnenahalli,3,DSgam S,1157,2,1,42
Super built-up  Area,Ready To Move,Sarjapur  Road,2,BModsen,1241,2,1,82
Super built-up  Area,19-Dec,Binny Pete,2,She 2rk,660,1,1,62
Built-up  Area,Ready To Move,Marathahalli,3,PueraRi,4000,4,3,220
Super built-up  Area,Ready To Move,Rajiv Nagar,2,PuoodSk,2340,4,1,148
Built-up  Area,Ready To Move,Venkatadri Layout,2,Raiyai ,596,1,1,42
Super built-up  Area,Ready To Move,Koramangala Industrial Layout,1,,10000,16,,550
Plot  Area,Ready To Move,Kyalasanahalli,3,UpowsMe,1200,4,3,110
Super built-up  Area,Ready To Move,Ambedkar Colony,1,RMcesa ,1910,3,1,190
Super built-up  Area,Ready To Move,Brookefield,4,CidgeKn,1139,2,2,80
Super built-up  Area,Ready To Move,Thigalarapalya,5,Prtanha,3122,5,2,225
Super built-up  Area,19-Aug,Sarjapura - Attibele Road,4,,1033,2,2,28.41
Super built-up  Area,Ready To Move,Yeshwanthpur,4,IBityin,1168,2,2,64.08
Super built-up  Area,Ready To Move,Chandapura,4,,877,2,3,42
Built-up  Area,18-Jul,Electronics City Phase 1,4,Shitt S,1340,2,2,75
Built-up  Area,Ready To Move,B Narayanapura,3,ShentAp,1405,2,2,70
Super built-up  Area,Ready To Move,Siddapura,5,,1800,3,3,65
Built-up  Area,Ready To Move, Devarabeesana Halli,5,Sorisa ,1750,3,3,149
Super built-up  Area,Ready To Move,Motappa Layout,2,Puodse ,1360,2,1,65
Plot  Area,Ready To Move,Malleshwaram,3,,675,2,0,148
Super built-up  Area,19-Jun,Byrasandra,2,Sancy R,985,2,1,63
Super built-up  Area,16-Jul,Victoria Layout,2,,1300,2,1,129
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,Brngsal,1850,3,2,150
Super built-up  Area,Ready To Move,Rustam Bagh Layout,2,Srowsee,1490,2,3,88
Super built-up  Area,Ready To Move,Byagadadhenahalli,3,VBavaai,620,1,1,25
Super built-up  Area,19-Aug,Hormavu,1,,1130,2,1,42.3
Super built-up  Area,Ready To Move,Yelachenahalli,3,BaiseBa,1080,2,2,55
Built-up  Area,Ready To Move,Singasandra,2,,3126,4,,120
Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1410,2,3,52.17
Super built-up  Area,Ready To Move,Bommanahalli,3,,1375,3,2,59
Super built-up  Area,Ready To Move,Hennur Road,1,Maity W,1290,2,1,94.5
Super built-up  Area,19-Mar,Hosa Road,2,Skume R,1318,2,1,85.28
Super built-up  Area,Ready To Move,Electronic City,2,Prarkun,1128,2,1,68
Plot  Area,Ready To Move,Meenakunte,2,Sreat R,4428,4,2,255
Super built-up  Area,21-Mar,Kanakpura Road,1,GolusLi,1051,2,2,56.74
Plot  Area,Ready To Move,Kengeri,2,,3500,5,0,275
Plot  Area,Ready To Move,Kannamangala,7,MIalerd,2400,4,1,130
Super built-up  Area,Ready To Move,Yelahanka,2,PuziaVe,1327,2,3,85
Super built-up  Area,Ready To Move,Thigalarapalya,2,Prtanha,2912,6,2,210
Super built-up  Area,Ready To Move,Basapura,3,Jaangm ,1301,2,2,55
Super built-up  Area,Ready To Move,Thippasandra,1,,650,1,0,30
Plot  Area,18-Jul,Varthur,4,,1200,3,1,67.75
Super built-up  Area,Ready To Move,Banagiri Nagar,2,,1500,2,2,89.99
Plot  Area,Ready To Move,Kumara Park,2,,2700,6,,675
Plot  Area,Ready To Move,Nagadevanahalli,2,,1350,4,2,145
Built-up  Area,18-Aug,Electronic City Phase II,2,Sryalan,1000,2,1,28.88
Super built-up  Area,19-Nov,Sarjapur  Road,2,AsastDe,984,2,1,45.91
Super built-up  Area,22-May,Jakkur,3,SoineC ,1819.18,3,1,160
Built-up  Area,Ready To Move,Nagarbhavi,5,,900,1,0,175
Super built-up  Area,18-Apr,Hebbal,1,Magiaya,1355,3,1,83.87
Super built-up  Area,Ready To Move,Sarakki Nagar,4,Sowerew,2145,4,1,270
Super built-up  Area,Ready To Move,Malleshwaram,2,Sariaat,2475,4,3,300
Super built-up  Area,18-Aug,Kaggadasapura,2,,1118,2,0,30
Super built-up  Area,Ready To Move,Roopena Agrahara,2,,910,1,1,42
Super built-up  Area,18-May,Madiwala,2,,1250,3,2,39
Super built-up  Area,18-Mar,Hosakerehalli,2,SoageHe,1304,2,3,100
Super built-up  Area,Ready To Move,Begur Road,3,Dhalsh ,1615,3,2,58
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Contsci,1400,2,2,68
Super built-up  Area,Ready To Move,CV Raman Nagar,3,Villeka,1070,2,2,47.5
Super built-up  Area,17-Nov,Hebbal,3,Emceske,3500,3,3,395
Super built-up  Area,22-Jun,Hoodi,2,GoAirej,1132,2,1,89.37
Super built-up  Area,Ready To Move,Rajarajeshwari Nagara,2,,2000,3,2,85
Plot  Area,Ready To Move,Hebbal,4,,2400,5,1,550
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,3,DShtsow,794,1,2,65
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,Lancyey,1090,2,2,43.59
Super built-up  Area,Ready To Move,Gottigere,3,Pridei ,1500,3,2,70
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2,Prhtsok,2059,3,2,225
Super built-up  Area,21-Jan,Kanakpura Road,2,PrarePa,525,1,1,30
Super built-up  Area,18-May,Bhoganhalli,2,Rosha I,1447,2,1,75.97
Super built-up  Area,20-Dec,Whitefield,2,VaarkMe,1269,2,1,75
Plot  Area,18-Apr,KR Layout,2,,4800,4,0,700
Super built-up  Area,Ready To Move,Kanakpura Road,2,Shiew T,1070,2,2,37.45
Super built-up  Area,Ready To Move,Talaghattapura,3,,1150,2,0,28
Super built-up  Area,Ready To Move,Marathahalli,4,,1208,2,2,70
Super built-up  Area,Ready To Move,Ramamurthy Nagar,4,Cimeshw,1185,2,1,45.5
Plot  Area,Ready To Move,Laggere,2,,1200,3,1,130
Super built-up  Area,Ready To Move,Anekal,2,,888,2,1,34
Super built-up  Area,18-Aug,Chandapura,4,SunceEs,1015,2,2,25.88
Built-up  Area,Ready To Move,Celebrity Paradise Layout,2,,532,1,1,22.49
Super built-up  Area,Ready To Move,St Thomas Town,3,,1060,3,1,62
Built-up  Area,Ready To Move,Electronic City,2,,700,1,1,35
Super built-up  Area,Ready To Move,Ckikkakammana Halli,3,Radhian,902,2,2,42
Plot  Area,Ready To Move,Banashankari 2nd Stage,2,,600,3,3,95
Super built-up  Area,Ready To Move,Uttarahalli,2,,1175,2,1,47
Super built-up  Area,19-Dec,Binny Pete,2,She 2rk,1365,2,1,122
Super built-up  Area,Ready To Move,Doddathoguru,2,Hincy R,984,2,1,51
Plot  Area,Ready To Move,Hebbal,2,,2700,2,2,100
Super built-up  Area,Ready To Move,Jalahalli East,2,,1475,3,2,96
Super built-up  Area,Ready To Move,Haralur Road,2,NDionas,1300,2,2,79
Plot  Area,Ready To Move,5th Block Hbr Layout,2,,1200,6,1,220
Built-up  Area,Ready To Move,Babusapalaya,2,,1453,2,2,43.59
Super built-up  Area,Ready To Move,Munivenkatppa Layout,2,SNiew L,1550,2,3,160
Built-up  Area,Ready To Move,Akshaya Nagar,2,DLhtsnd,1666,3,,95
Plot  Area,Ready To Move,Akshaya Nagar,2,,1410,4,2,160
Plot  Area,18-Mar,Yelahanka,3,Nileyap,4025,5,3,800
Super built-up  Area,Ready To Move,Murugeshpalya,2,Vestas ,1845,3,3,91
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3,Puownm ,1676,3,3,52
Super built-up  Area,20-Dec,Uttarahalli,5,PrdgeLa,1137,2,1,63
Super built-up  Area,Ready To Move,Electronic City,3,GMown E,1360,2,1,70.5
Super built-up  Area,Ready To Move,Vijaya Bank Layout,2,FoGemna,1374,2,2,70
Built-up  Area,Ready To Move,Judicial Layout,3,,1700,3,2,155
Plot  Area,Ready To Move,Whitefield,3,,3227,5,0,250
Super built-up  Area,Ready To Move,Ferrar Nagar,2,Cestama,2145,4,,125
Plot  Area,Ready To Move,Koramangala,3,,2400,6,3,600
Super built-up  Area,18-May,Kasavanhalli,3,,2170,3,2,151
Built-up  Area,Ready To Move,Bank Of Baroda Colony,3,,1080,2,1,55
Built-up  Area,Ready To Move,Electronic City Phase II,2,SNbay G,1790,3,3,100
Super built-up  Area,Ready To Move,Doddathoguru,2,,550,1,1,17
Super built-up  Area,Ready To Move,Poorna Pragna Layout,5,,1270,2,2,50.79
Built-up  Area,Ready To Move,Somasundara Palya,2,Ahhtser,1033,2,2,48
Built-up  Area,Ready To Move,Kamala Nagar,1,,1000,2,1,80
Super built-up  Area,19-Dec,Binny Pete,2,She 2rk,2940,6,2,280
Super built-up  Area,Ready To Move,Kumarapalli,3,BMmesHo,1240,2,2,52.6
Plot  Area,Ready To Move,Kasturi Nagar,2,,1650,5,1,450
Super built-up  Area,Ready To Move,Kambipura,1,Prrtht ,883,2,1,39
Built-up  Area,15-Jun,Outer Ring Road East,2,SRzonhu,1500,2,0,97
Super built-up  Area,Ready To Move,Marathahalli,3,Asintas,1730,3,3,139
Super built-up  Area,Ready To Move,Kasavanhalli,4,,1915,3,3,80
Super built-up  Area,Ready To Move,Whitefield,2,BainePr,1545,3,2,79
Super built-up  Area,19-Mar,Marenahalli,3,,1865,4,2,140
Super built-up  Area,Ready To Move,Hebbal Kempapura,2,,1150,2,2,40
Super built-up  Area,18-Aug,HAL 3rd Stage,3,,1200,2,2,49
Built-up  Area,Ready To Move,Kengeri,2,,963,2,2,40
Plot  Area,Ready To Move,Marsur,2,AreraRe,1200,3,1,120
Super built-up  Area,Ready To Move,Basavangudi,2,,2600,4,3,260
Built-up  Area,Ready To Move,Kaikondrahalli,2,Srsica ,1700,4,,108
Super built-up  Area,Ready To Move,Lingadheeranahalli,2,Soiewre,1682,3,1,120
Built-up  Area,Ready To Move,Yelahanka,2,Rarthne,1371,2,2,65
Super built-up  Area,21-Mar,Hennur Road,2,,901,2,1,49.5
Plot  Area,Ready To Move,Vishwapriya Layout,2,,600,7,0,73
Super built-up  Area,Ready To Move,Ambalipura,2,SJarkte,1730,3,1,120
Plot  Area,Ready To Move,Konanakunte,3,,1200,4,0,125
Super built-up  Area,Ready To Move,EPIP Zone,2,SJlynro,1500,3,3,102
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Maana E,3785,6,,280
Built-up  Area,Ready To Move,Nagawara Junction,2,,3500,4,2,245
Carpet  Area,Ready To Move,Lingarajapuram,2,Glnetch,1203,2,1,59.86
Super built-up  Area,Ready To Move,Horamavu Banaswadi,3,,1357,2,2,54
Super built-up  Area,Ready To Move,Vasantha Vallabha Nagar,2,Suensda,1600,3,2,76
Built-up  Area,Ready To Move,Yelahanka New Town,2,KHatsFl,350,1,1,13.5
Super built-up  Area,Ready To Move,Varthur,3,MKllei ,1665,3,1,53
Plot  Area,Ready To Move,Ramamurthy Nagar,3,,1400,3,3,200
Super built-up  Area,Ready To Move,Sarjapur  Road,2,,835,1,1,46.95
Plot  Area,Ready To Move,Chandra Layout,2,,815,3,2,160
Super built-up  Area,Ready To Move,Haralur Road,2,NDionas,1444,2,1,80
Super built-up  Area,Ready To Move,Kanakapura,2,,1277,2,2,55
Super built-up  Area,Ready To Move,Lingadheeranahalli,2,Soiewre,1521,3,1,94.71
Super built-up  Area,Ready To Move,Maithri Layout,2,,1134,2,1,40
Super built-up  Area,Ready To Move,Vasanthapura,2,,995,2,1,34.82
Super built-up  Area,Ready To Move,Old Madras Road,3,Brica E,2760,5,2,157
Built-up  Area,Ready To Move,Marathahalli,2,PueraRi,1325,1,1,92
Built-up  Area,Ready To Move,Kothanur,2,,4000,6,,150
Built-up  Area,Ready To Move,Marathahalli,2,,1525,3,2,90
Super built-up  Area,18-Dec,Raja Rajeshwari Nagar 5th Stage,2,,1320,2,2,73
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,SrnesSr,650,1,1,23
Built-up  Area,Ready To Move,Old Airport Road,2,,1858,2,1,167
Super built-up  Area,21-Aug,Electronic City,2,,1150,2,1,38
Super built-up  Area,Ready To Move,Electronic City Phase II,2,MJtroty,769,2,1,40
Super built-up  Area,Ready To Move,Electronic City,2,Prarkun,1571,3,2,105
Super built-up  Area,Ready To Move,Hennur Road,3,Maity W,1445,3,1,86.56
Super built-up  Area,Ready To Move,Hosur Road,2,Saageat,1590,2,2,135
Super built-up  Area,Ready To Move,Bommasandra,1,Niway G,902,2,2,49
Plot  Area,18-Mar,Sarjapur,2,,2238,3,1,140
Built-up  Area,18-Dec,Electronic City,2,,1090,2,1,31.49
Built-up  Area,Ready To Move,Yelahanka,2,NCowsar,1712,3,3,82
Built-up  Area,Ready To Move,Haralur Road,3,,1088,2,1,68
Super built-up  Area,Ready To Move,Somasundara Palya,3,,1575,3,3,63.1
Plot  Area,Ready To Move,Nanjappa Garden,3,,2150,6,3,205
Super built-up  Area,Ready To Move,Kundalahalli,2,Roima A,1920,3,2,150
Plot  Area,Ready To Move,Margondanahalli,2,,1000,2,0,57
Super built-up  Area,18-Oct,Chennammana Kere,3,,1100,2,2,56.1
Super built-up  Area,Ready To Move,Electronic City,1,Daives ,1089,2,2,45
Built-up  Area,Ready To Move,Horamavu Agara,3,Maows M,1106,2,1,43.09
Super built-up  Area,18-Dec,Kengeri,3,,927,2,2,37
Super built-up  Area,Ready To Move,Kanakpura Road,2,PuandHi,1339,2,2,58
Built-up  Area,21-Dec,Thanisandra,2,Bhe 2ko,923,1,1,45.69
Plot  Area,18-Aug,Sarjapur  Road,2,,2900,3,2,285
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2,RothaVa,1175,2,2,75
Built-up  Area,Ready To Move,Thubarahalli,2,Soowsa ,975,2,1,55
Super built-up  Area,Ready To Move,Hebbal,2,Kacesh ,2400,4,1,180
Super built-up  Area,Ready To Move,Subramanyapura,3,Prldsri,1330,3,2,72
Super built-up  Area,20-Dec,Thanisandra,3,Bhe 2ko,1183,2,1,59.74
Super built-up  Area,Ready To Move,Harlur,3,,1758,3,2,133
Plot  Area,Ready To Move,Nagarbhavi,3,,1200,3,2,265
Super built-up  Area,19-Dec,Hebbal,2,Magiaya,1255,2,1,77.68
Plot  Area,Ready To Move,Nagadevanahalli,2,,600,4,2,110
Built-up  Area,Ready To Move,Pai Layout,2,SantsAp,1100,2,2,50
Super built-up  Area,18-Dec,Ramamurthy Nagar,2,Vaharvi,1170,2,2,46.8
Built-up  Area,Ready To Move,Vayunandana Layout,3,,2400,5,2,120
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1530,3,3,51.77
Built-up  Area,17-Dec,Hebbal,2,Mahosya,1420,2,2,107
Plot  Area,Ready To Move,Geetanjali Layout,2,,1200,4,2,300
Plot  Area,Ready To Move,7th Phase JP Nagar,4,,1045,6,3,160
Super built-up  Area,19-Jan,Kanakpura Road,2,PrityFa,1591,3,1,115
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,Eladero,1680,3,2,120
Plot  Area,Ready To Move,Kenchenhalli,7,,675,3,1,52
Super built-up  Area,19-Dec,Hoodi,2,Caycend,1055,2,1,57.63
Super built-up  Area,Ready To Move,Iblur Village,2,Sonet G,1918,3,2,129
Super built-up  Area,18-Jan,Sarjapur  Road,1,Kelia R,1280,2,1,76
Super built-up  Area,Ready To Move,Nagarbhavi,7,DSdhiSa,1560,3,3,66
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Usquaya,1145,2,2,49.5
Super built-up  Area,Ready To Move,Talaghattapura,3,Sodgere,2106,3,2,126
Super built-up  Area,Ready To Move,"EPIP AREA, WHITEFIELD",7,,1801,3,2,139
Plot  Area,Ready To Move,Seegehalli,3,,1200,5,3,120
Super built-up  Area,Ready To Move,Rajaji Nagar,2,PhestOn,1718,3,2,288
Super built-up  Area,20-Jun,Whitefield,3,Somns T,1306,3,2,54.65
Super built-up  Area,19-Jun,Hebbal,2,Raard B,1320,2,1,92
Built-up  Area,Ready To Move,1st Stage Domlur,2,,1350,2,2,65
Built-up  Area,Ready To Move,"RMV extension stage 2, rmv extension",2,,2990,4,,324
Built-up  Area,Ready To Move,Kalyan nagar,3,AHavenc,3800,5,3,300
Super built-up  Area,Ready To Move,Bannerghatta Road,3,DSnjh S,1344,2,1,42
Super built-up  Area,Ready To Move,Bannerghatta Road,2,,1893,3,2,100
Super built-up  Area,Ready To Move,Chandapura,3,,1107,2,1,43
Plot  Area,Ready To Move,R.T. Nagar,3,,1200,10,,180
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3,RothaVa,1190,2,1,75
Built-up  Area,Ready To Move,Whitefield,3,Pranthi,1000,2,1,35
Plot  Area,Ready To Move,Kalhalli,3,Keersto,2400,2,1,160
Super built-up  Area,Ready To Move,Kumaraswami Layout,3,Mania G,1000,2,1,48.5
Super built-up  Area,Ready To Move,Jalahalli,2,Tahtsla,2113,3,2,155
Built-up  Area,Ready To Move,KR Puram,2,,1100,2,1,46
Plot  Area,Ready To Move,Sector 2 HSR Layout,4,,1200,4,1,160
Super built-up  Area,Ready To Move,Harlur,2,Zonce E,1884,4,2,120
Super built-up  Area,Ready To Move,Electronic City,2,YCnce R,1110,2,1,40
Super built-up  Area,Ready To Move,Kudlu,2,Srrnasa,1027,2,2,43
Super built-up  Area,18-May,Tavarekere,3,,1250,3,2,40
Built-up  Area,Ready To Move,Sarjapur  Road,3,,1470,3,0,62
Built-up  Area,18-May,Kamakshipalya,3,,1150,2,1,75
Plot  Area,Ready To Move,Hadosiddapura,2,JRichee,1200,3,2,165
Super built-up  Area,18-Aug,Kudlu Gate,2,Sanzaat,703,1,1,52
Super built-up  Area,Ready To Move,Vijaya Bank Colony,5,,1400,2,2,62
Super built-up  Area,Ready To Move,Bellandur,3,SRageri,1195,2,2,51
Super built-up  Area,Ready To Move,Narayanapura,2,Veodsar,1302,2,1,69.1
Super built-up  Area,19-Aug,Begur Road,2,Pruthg ,1583,3,1,74.4
Super built-up  Area,Ready To Move,Kumarapalli,4,BMmesHo,1488,2,3,60
Plot  Area,Ready To Move,Lakshmi Layout,2,,600,5,2,85
Super built-up  Area,18-Aug,Kammasandra,3,DSOakil,1385,2,2,34.63
Super built-up  Area,Ready To Move,Whitefield,2,,3262,4,2,260
Built-up  Area,18-Jan,Electronic City,3,Prarkun,1600,3,2,104
Super built-up  Area,Ready To Move,Old Airport Road,2,FlsicFl,1150,2,1,90
Plot  Area,Ready To Move,Lakkasandra,3,,4500,9,,166
Super built-up  Area,Ready To Move,Sarjapur  Road,3,,1263,2,1,78
Plot  Area,Ready To Move,KR Puram,3,,1200,8,2,110
Super built-up  Area,20-May,Kanakpura Road,2,Soena A,1299,2,2,85
Super built-up  Area,Ready To Move,Banashankari,2,,1330,2,1,78
Super built-up  Area,18-Apr,Devanahalli,2,Sabixtt,1282,2,2,52.43
Built-up  Area,Ready To Move,"JP Nagar 8th Phase, ",1,,1853,3,2,82
Super built-up  Area,Ready To Move,Kachanayakanahalli,2,ICoolon,861,2,1,35
Built-up  Area,Ready To Move,Bannerghatta Road,2,SNity S,1600,3,2,95
Built-up  Area,Ready To Move,Nagaraja Garden,2,,1256,2,1,62.8
Super built-up  Area,Ready To Move,Tejaswini Nagar,2,Naods W,1390,2,2,80
Super built-up  Area,Ready To Move,Ashwath Nagar,2,Raeusiy,1550,2,,90
Plot  Area,Ready To Move,1 Annasandrapalya,2,,1200,6,3,150
Built-up  Area,Ready To Move,Hebbal,5,,919,2,1,49
Plot  Area,18-May,Margondanahalli,3,,1625,3,0,80
Super built-up  Area,Ready To Move,Gunjur,1,Puide P,1195,2,2,44
Super built-up  Area,Ready To Move,Domlur,2,,2400,4,1,600
Super built-up  Area,Ready To Move,Yelenahalli,2,Jaers S,1159,2,1,60
Super built-up  Area,20-Jun,Whitefield,2,Somns T,1386,3,1,57.46
Super built-up  Area,Ready To Move,Harlur,2,Prncyrn,1197,2,1,79
Super built-up  Area,18-Dec,Old Airport Road,2,Jaades ,2690,4,3,191
Super built-up  Area,Ready To Move,Jigani,2,Prllasw,3293 - 5314,,,226
Super built-up  Area,18-May,Bommasandra,2,SSestth,1295,2,1,50.28
Built-up  Area,18-Jul,Huskur,2,,1310,2,1,37.83
Super built-up  Area,21-Dec,Whitefield,2,Preaunt,1132,2,1,79.28
Built-up  Area,Ready To Move,6th block Koramangala,2,Sinde G,2350,3,2,400
Plot  Area,Ready To Move,4th Block Koramangala,2,,2400,4,,500
Super built-up  Area,19-Dec,Hebbal,2,Raard B,1645,3,2,135
Super built-up  Area,18-Nov,Whitefield,2,,1200,2,1,45.84
Plot  Area,Ready To Move,Whitefield,2,,3000,4,0,330
Super built-up  Area,Ready To Move,Marathahalli,2,Prionad,1937,3,2,140
Super built-up  Area,Ready To Move,Doddathoguru,3,Vayali ,1015,2,2,33.5
Super built-up  Area,Ready To Move,Nagadevanahalli,2,,1080,2,2,39
Super built-up  Area,Ready To Move,Kathriguppe,2,Prone M,1350,2,2,80.99
Super built-up  Area,18-Aug,Kengeri Satellite Town,2,DSestSt,1149,2,2,29
Super built-up  Area,Ready To Move,Kothanur,2,,1185,2,2,59
Super built-up  Area,Ready To Move,Domlur,2,,1720,3,1,135
Super built-up  Area,Ready To Move,Hebbal,2,,2080,3,3,175
Plot  Area,Ready To Move,Tindlu,2,Hentye ,1500,3,1,87
Super built-up  Area,Ready To Move,Yelahanka,2,PuziaVe,1566,3,2,97
Super built-up  Area,Ready To Move,Rajaji Nagar,2,PhestOn,2386,3,,334
Plot  Area,Ready To Move,KSRTC Layout,2,,1500,4,0,110
Super built-up  Area,Ready To Move,KR Puram,3,LVniaar,1290,2,1,49.02
Built-up  Area,20-Dec,"JP nagar 9th Phase, ",3,,1531,3,2,72
Super built-up  Area,Ready To Move,Keshava Nagar,3,ETens G,1839,3,3,165
Plot  Area,Ready To Move,Dollars Layout,3,,4200,4,1,760
Super built-up  Area,18-May,Electronic City Phase II,3,Sryalan,1400,2,2,40.43
Super built-up  Area,Ready To Move,Electronic City,3,Itelaa ,550,1,1,15
Super built-up  Area,Ready To Move,Whitefield,3,SSthamh,1140,2,2,39
Super built-up  Area,21-Jun,Tumkur Road,3,Coowsri,1210 - 1477,3,0,57.76
Built-up  Area,Ready To Move,Banashankari Stage III,3,,2000,4,0,100
Built-up  Area,Ready To Move,Kaval Byrasandra,4,VaasaPr,1100,2,1,46
Built-up  Area,Ready To Move,Vignana Nagar,3,Mancyhi,1200,2,2,55
Super built-up  Area,18-Apr,Bannerghatta,3,,1618,3,1,68
Super built-up  Area,18-Oct,Whitefield,3,Prtates,2830,5,2,160
Super built-up  Area,Ready To Move,Uttarahalli,3,Omy 2es,1315,2,2,74
Super built-up  Area,Ready To Move,Anandapura,3,ViensRK,1141,2,1,42.75
Super built-up  Area,Ready To Move,AECS Layout,4,Srestve,1080,2,2,55
Super built-up  Area,Ready To Move,HBR Layout,4,Flretes,1200,2,2,60
Super built-up  Area,Ready To Move,Varthur,4,DSingSt,1111,2,2,41.88
Super built-up  Area,Ready To Move,NGR Layout,6,,1022,2,1,45.9
Super built-up  Area,Ready To Move,Bannerghatta Road,2,SNity S,1275,2,2,65
Super built-up  Area,Ready To Move,4th Block Jayanagar,2,,900,2,1,70
Super built-up  Area,Ready To Move,Rachenahalli,2,,1224,2,3,39.2
Super built-up  Area,Ready To Move,Battarahalli,2,Sancy L,1135,2,3,43
Super built-up  Area,Ready To Move,Rachenahalli,2,,1050,2,2,52.1
Super built-up  Area,Ready To Move,Kudlu Gate,2,Srier P,1535,3,2,86
Super built-up  Area,17-Nov,Nagavarapalya,6,PuonsSe,1392,2,1,130
Super built-up  Area,Ready To Move,Bellandur,2,Kritel ,1050,2,2,72
Super built-up  Area,19-Jun,Hosa Road,2,Sosisic,1513,3,1,103
Super built-up  Area,Ready To Move,Gottigere,2,Sooutnu,1621,3,3,72
Super built-up  Area,Ready To Move,Bannerghatta Road,2,Ceise P,892,2,1,39
Super built-up  Area,Ready To Move,Whitefield,2,SSthamh,1205,2,1,40
Super built-up  Area,18-Dec,Hebbal,2,Magiaya,1355,3,2,83.87
Plot  Area,Ready To Move,2nd Block Hrbr Layout,2,,1250,5,,300
